date,rank
19-Apr-08,
26-Apr-08,
3-May-08,
10-May-08,
17-May-08,
24-May-08,1
31-May-08,1
7-Jun-08,1
14-Jun-08,1
21-Jun-08,1
28-Jun-08,1
5-Jul-08,1
12-Jul-08,1
19-Jul-08,1
26-Jul-08,1
2-Aug-08,1
9-Aug-08,1
16-Aug-08,1
23-Aug-08,1
30-Aug-08,1
6-Sep-08,1
13-Sep-08,1
20-Sep-08,2
27-Sep-08,
4-Oct-08,1
11-Oct-08,1
18-Oct-08,1
25-Oct-08,1
1-Nov-08,1
8-Nov-08,2
15-Nov-08,1
22-Nov-08,1
29-Nov-08,1
6-Dec-08,1
13-Dec-08,1
20-Dec-08,1
27-Dec-08,1
3-Jan-09,1
10-Jan-09,1
17-Jan-09,1
24-Jan-09,1
31-Jan-09,1
7-Feb-09,1
14-Feb-09,1
21-Feb-09,1
28-Feb-09,1
7-Mar-09,1
14-Mar-09,1
21-Mar-09,1
28-Mar-09,1
4-Apr-09,1
11-Apr-09,1
18-Apr-09,1
25-Apr-09,1
2-May-09,1
9-May-09,1
16-May-09,1
23-May-09,1
30-May-09,1
6-Jun-09,1
13-Jun-09,1
20-Jun-09,1
27-Jun-09,1
4-Jul-09,1
11-Jul-09,1
18-Jul-09,1
25-Jul-09,1
1-Aug-09,1
8-Aug-09,1
15-Aug-09,1
22-Aug-09,1
29-Aug-09,1
5-Sep-09,1
12-Sep-09,1
19-Sep-09,1
26-Sep-09,1
3-Oct-09,1
10-Oct-09,1
17-Oct-09,2
24-Oct-09,2
31-Oct-09,3
7-Nov-09,2
14-Nov-09,2
21-Nov-09,2
28-Nov-09,1
5-Dec-09,1
12-Dec-09,1
19-Dec-09,1
27-Dec-09,1
3-Jan-10,1
10-Jan-10,1
17-Jan-10,2
24-Jan-10,2
31-Jan-10,2
7-Feb-10,2
14-Feb-10,2
21-Feb-10,3
28-Feb-10,3
7-Mar-10,3
14-Mar-10,3
21-Mar-10,5
28-Mar-10,3
4-Apr-10,3
11-Apr-10,3
18-Apr-10,3
25-Apr-10,3
2-May-10,4
9-May-10,4
16-May-10,4
23-May-10,4
30-May-10,4
6-Jun-10,1
13-Jun-10,1
20-Jun-10,1
27-Jun-10,1
4-Jul-10,1
11-Jul-10,1
18-Jul-10,1
25-Jul-10,1
1-Aug-10,3
8-Aug-10,1
15-Aug-10,2
22-Aug-10,3
29-Aug-10,3
5-Sep-10,4
12-Sep-10,5
19-Sep-10,4
26-Sep-10,7
3-Oct-10,7
10-Oct-10,6
17-Oct-10,5
24-Oct-10,5
31-Oct-10,8
7-Nov-10,7
14-Nov-10,8
21-Nov-10,7
28-Nov-10,7
5-Dec-10,5
12-Dec-10,6
19-Dec-10,6
26-Dec-10,5
2-Jan-11,8
9-Jan-11,8
16-Jan-11,7
23-Jan-11,7
30-Jan-11,8
5-Feb-11,7
12-Feb-11,6
19-Feb-11,7
26-Feb-11,8
5-Mar-11,7
12-Mar-11,8
19-Mar-11,9
26-Mar-11,
2-Apr-11,10
9-Apr-11,
16-Apr-11,
23-Apr-11,
30-Apr-11,
7-May-11,
14-May-11,
21-May-11,
28-May-11,
4-Jun-11,
11-Jun-11,
18-Jun-11,
25-Jun-11,
2-Jul-11,
9-Jul-11,
16-Jul-11,
23-Jul-11,
30-Jul-11,
6-Aug-11,
13-Aug-11,
20-Aug-11,
27-Aug-11,
3-Sep-11,
10-Sep-11,
17-Sep-11,
24-Sep-11,
1-Oct-11,
8-Oct-11,
15-Oct-11,
22-Oct-11,10
29-Oct-11,9
5-Nov-11,6
12-Nov-11,6
19-Nov-11,7
26-Nov-11,4
3-Dec-11,4
10-Dec-11,7
17-Dec-11,5
24-Dec-11,5
31-Dec-11,10
7-Jan-12,8
14-Jan-12,7
21-Jan-12,
28-Jan-12,
4-Feb-12,
11-Feb-12,5
18-Feb-12,4
25-Feb-12,6
3-Mar-12,4
10-Mar-12,10
17-Mar-12,
24-Mar-12,
31-Mar-12,
7-Apr-12,
14-Apr-12,
21-Apr-12,
28-Apr-12,
5-May-12,
12-May-12,
